# Note: auto-generated file (changes will be lost on update)
# Name; Value; Display; Description
c10; "2.0E-30"; no; "GICCR constant (A^2s)"
qp0; "2.0E-14"; no; "Zero-bias hole charge (Coul)"
ich; "0.0"; no; "High-current correction for 2D and 3D effects (A)"
hfe; "1.0"; no; "Emitter minority charge weighting factor in HBTs"
hfc; "1.0"; no; "Collector minority charge weighting factor in HBTs"
hjei; "1.0"; no; "B-E depletion charge weighting factor in HBTs"
hjci; "1.0"; no; "B-C depletion charge weighting factor in HBTs"
ibeis; "1.0E-18"; no; "Internal B-E saturation current (A)"
mbei; "1.0"; no; "Internal B-E current ideality factor"
ireis; "0.0"; no; "Internal B-E recombination saturation current (A)"
mrei; "2.0"; no; "Internal B-E recombination current ideality factor"
ibeps; "0.0"; no; "Peripheral B-E saturation current (A)"
mbep; "1.0"; no; "Peripheral B-E current ideality factor"
ireps; "0.0"; no; "Peripheral B-E recombination saturation current (A)"
mrep; "2.0"; no; "Peripheral B-E recombination current ideality factor"
mcf; "1.0"; no; "Non-ideality factor for III-V HBTs"
tbhrec; "0.0"; no; "Base current recombination time constant at B-C barrier for high forward injection (s)"
ibcis; "1.0E-16"; no; "Internal B-C saturation current (A)"
mbci; "1.0"; no; "Internal B-C current ideality factor"
ibcxs; "0.0"; no; "External B-C saturation current (A)"
mbcx; "1.0"; no; "External B-C current ideality factor"
ibets; "0.0"; no; "B-E tunneling saturation current (A)"
abet; "40"; no; "Exponent factor for tunneling current"
tunode; "1"; no; "Specifies the base node connection for the tunneling current"
favl; "0.0"; no; "Avalanche current factor (1/V)"
qavl; "0.0"; no; "Exponent factor for avalanche current (Coul)"
alfav; "0.0"; no; "Relative TC for FAVL (1/K)"
alqav; "0.0"; no; "Relative TC for QAVL (1/K)"
rbi0; "0.0"; no; "Zero bias internal base resistance (Ohm)"
rbx; "0.0"; no; "External base series resistance (Ohm)"
fgeo; "0.6557"; no; "Factor for geometry dependence of emitter current crowding"
fdqr0; "0.0"; no; "Correction factor for modulation by B-E and B-C space charge layer"
fcrbi; "0.0"; no; "Ratio of HF shunt to total internal capacitance (lateral NQS effect)"
