# Note: auto-generated file (changes will be lost on update)
# Name; Value; Display; Description
Type; "npn"; yes; "polarity [npn, pnp]"
is; "1.0e-16"; no; "(Modified) saturation current (A)"
mcf; "1.00"; no; "Non-ideality coefficient of forward collector current"
mcr; "1.00"; no; "Non-ideality coefficient of reverse collector current"
vef; "1.0e6"; no; "forward Early voltage (normalization volt.) (V)"
ver; "1.0e6"; no; "reverse Early voltage (normalization volt.) (V)"
iqf; "1.0e6"; no; "forward d.c. high-injection roll-off current (A)"
fiqf; "0"; no; "flag for turning on base related critical current"
iqr; "1.0e6"; no; "inverse d.c. high-injection roll-off current (A)"
iqfh; "1.0e6"; no; "high-injection correction current (A)"
iqfe; "0.0"; no; "high-injection roll-off current"
ahq; "0.0"; no; "Smoothing factor for the d.c. injection width"
ibes; "1e-18"; no; "BE saturation current (A)"
mbe; "1.0"; no; "BE non-ideality factor"
ires; "0.0"; no; "BE recombination saturation current (A)"
mre; "2.0"; no; "BE recombination non-ideality factor"
ibcs; "0.0"; no; "BC saturation current (A)"
mbc; "1.0"; no; "BC non-ideality factor"
cje0; "1.0e-20"; no; "Zero-bias BE depletion capacitance (F)"
vde; "0.9"; no; "BE built-in voltage (V)"
ze; "0.5"; no; "BE exponent factor"
aje; "2.5"; no; "Ratio of maximum to zero-bias value"
vdedc; "0.9"; no; "BE charge built-in voltage for d.c. transfer current (V)"
zedc; "0.5"; no; "charge BE exponent factor for d.c. transfer current"
ajedc; "2.5"; no; "BE capacitance ratio (maximum to zero-bias value) for d.c. transfer current"
t0; "0.0"; no; "low current transit time at Vbici=0 (s)"
dt0h; "0.0"; no; "Base width modulation contribution (s)"
tbvl; "0.0"; no; "SCR width modulation contribution (s)"
tef0; "0.0"; no; "Storage time in neutral emitter (s)"
gte; "1.0"; no; "Exponent factor for emitter transit time"
thcs; "0.0"; no; "Saturation time at high current densities (s)"
ahc; "0.1"; no; "Smoothing factor for current dependence"
tr; "0.0"; no; "Storage time at inverse operation (s)"
rci0; "150"; no; "Low-field collector resistance under emitter (Ohm)"
vlim; "0.5"; no; "Voltage dividing ohmic and satur.region (V)"
vpt; "100.0"; no; "Punch-through voltage (V)"
vces; "0.1"; no; "Saturation voltage (V)"
cjci0; "1.0e-20"; no; "Total zero-bias BC depletion capacitance (F)"
vdci; "0.7"; no; "BC built-in voltage (V)"
zci; "0.333"; no; "BC exponent factor"
vptci; "100.0"; no; "Punch-through voltage of BC junction (V)"
cjcx0; "1.0e-20"; no; "Zero-bias external BC depletion capacitance (F)"
vdcx; "0.7"; no; "External BC built-in voltage (V)"
zcx; "0.333"; no; "External BC exponent factor"
vptcx; "100.0"; no; "Punch-through voltage (V)"
