# Note: auto-generated file (changes will be lost on update)
# Name; Value; Display; Description
N; "1.35"; no; "photodiode emission coefficient"
Rseries; "1e-3"; no; "series lead resistance (Ohm)"
Is; "0.34e-12"; no; "diode dark current (A)"
Bv; "60"; no; "reverse breakdown voltage (V)"
Ibv; "1e-3"; no; "current at reverse breakdown voltage (A)"
Vj; "0.7"; no; "junction potential (V)"
Cj0; "60e-12"; no; "zero-bias junction capacitance (F)"
M; "0.5"; no; "grading coefficient"
Area; "1.0"; no; "diode relative area"
Tnom; "26.85"; no; "parameter measurement temperature (Celsius)"
Fc; "0.5"; no; "forward-bias depletion capacitance coefficient"
Tt; "10e-9"; no; "transit time (s)"
Xti; "3.0"; no; "saturation current temperature exponent"
Eg; "1.16"; no; "energy gap (eV)"
Responsivity; "0.5"; no; "responsivity (A/W)"
Rsh; "5e8"; no; "shunt resistance (Ohm)"
QEpercent; "80"; no; "quantum efficiency (%)"
Lambda; "900"; no; "light wavelength (nm)"
LEVEL; "1"; no; "responsivity calculator selector"
Kf; "1e-12"; no; "flicker noise coefficient"
Af; "1.0"; no; "flicker noise exponent"
Ffe; "1.0"; no; "flicker noise frequency exponent"
Temp; "26.85"; no; "simulation temperature"
