# Note: auto-generated file (changes will be lost on update)
# Name; Value; Display; Description
Kv; "1.0"; no; "scale factor"
Dk; "0.3"; no; "scale factor error (%)"
Ib1; "5e-12"; no; "input I1 bias current (A)"
Ibr; "5e-12"; no; "input reference bias current (A)"
M; "5"; no; "number of decades"
N; "0.1"; no; "conformity error (%)"
Vosout; "3e-3"; no; "output offset error (V)"
Rinp; "1e6"; no; "amplifier input resistance (Ohm)"
Fc; "1e3"; no; "amplifier 3dB frequency (Hz)"
Ro; "1e-3"; no; "amplifier output resistance (Ohm)"
Ntc; "0.002"; no; "conformity error temperature coefficient (%/Celsius)"
Vosouttc; "80e-6"; no; "offset temperature coefficient (V/Celsius)"
Dktc; "0.03"; no; "scale factor error temperature coefficient (%/Celsius)"
Ib1tc; "0.5e-12"; no; "input I1 bias current temperature coefficient (A/Celsius)"
Ibrtc; "0.5e-12"; no; "input reference bias current temperature coefficient (A/Celsius)"
Tnom; "26.85"; no; "parameter measurement temperature (Celsius)"
Temp; "26.85"; no; "simulation temperature"
