# Note: auto-generated file (changes will be lost on update)
# Name; Value; Display; Description
c10; "1.516E-31"; no; "GICCR constant"
qp0; "5.939E-15"; no; "Zero-bias hole charge"
ich; "1.0E11"; no; "High-current correction for 2D and 3D effects"
hfe; "1.0"; no; "Emitter minority charge weighting factor in HBTs"
hfc; "0.03999"; no; "Collector minority charge weighting factor in HBTs"
hjei; "0.435"; no; "B-E depletion charge weighting factor in HBTs"
hjci; "0.09477"; no; "B-C depletion charge weighting factor in HBTs"
ibeis; "3.47E-20"; no; "Internal B-E saturation current"
mbei; "1.025"; no; "Internal B-E current ideality factor"
ireis; "390E-12"; no; "Internal B-E recombination saturation current"
mrei; "3"; no; "Internal B-E recombination current ideality factor"
ibeps; "4.18321E-21"; no; "Peripheral B-E saturation current"
mbep; "1.045"; no; "Peripheral B-E current ideality factor"
ireps; "1.02846E-14"; no; "Peripheral B-E recombination saturation current"
mrep; "3"; no; "Peripheral B-E recombination current ideality factor"
mcf; "1.0"; no; "Non-ideality factor for III-V HBTs"
ibcis; "3.02613E-18"; no; "Internal B-C saturation current"
mbci; "1.0"; no; "Internal B-C current ideality factor"
ibcxs; "4.576E-29"; no; "External B-C saturation current"
mbcx; "1.0"; no; "External B-C current ideality factor"
ibets; "0.0"; no; "B-E tunneling saturation current"
abet; "36.74"; no; "Exponent factor for tunneling current"
favl; "14.97"; no; "Avalanche current factor"
qavl; "7.2407E-14"; no; "Exponent factor for avalanche current"
alfav; "0.0"; no; "Relative TC for FAVL"
alqav; "0.0"; no; "Relative TC for QAVL"
rbi0; "7.9"; no; "Zero bias internal base resistance"
rbx; "13.15"; no; "External base series resistance"
fgeo; "0.724"; no; "Factor for geometry dependence of emitter current crowding"
fdqr0; "0"; no; "Correction factor for modulation by B-E and B-C space charge layer"
fcrbi; "0.0"; no; "Ratio of HF shunt to total internal capacitance (lateral NQS effect)"
fqi; "1.0"; no; "Ration of internal to total minority charge"
re; "9.77"; no; "Emitter series resistance"
rcx; "10"; no; "External collector series resistance"
itss; "2.81242E-19"; no; "Substrate transistor transfer saturation current"
msf; "1.0"; no; "Forward ideality factor of substrate transfer current"
iscs; "7.6376E-17"; no; "C-S diode saturation current"
msc; "1.0"; no; "Ideality factor of C-S diode current"
tsf; "1.733E-8"; no; "Transit time for forward operation of substrate transistor"
rsu; "800"; no; "Substrate series resistance"
csu; "1.778E-14"; no; "Substrate shunt capacitance"
cjei0; "5.24382E-14"; no; "Internal B-E zero-bias depletion capacitance"
vdei; "0.9956"; no; "Internal B-E built-in potential"
zei; "0.4"; no; "Internal B-E grading coefficient"
aljei; "2.5"; no; "Ratio of maximum to zero-bias value of internal B-E capacitance"
cjep0; "0"; no; "Peripheral B-E zero-bias depletion capacitance"
vdep; "1"; no; "Peripheral B-E built-in potential"
zep; "0.01"; no; "Peripheral B-E grading coefficient"
aljep; "2.5"; no; "Ratio of maximum to zero-bias value of peripheral B-E capacitance"
cjci0; "4.46887E-15"; no; "Internal B-C zero-bias depletion capacitance"
vdci; "0.7"; no; "Internal B-C built-in potential"
zci; "0.38"; no; "Internal B-C grading coefficient"
vptci; "100"; no; "Internal B-C punch-through voltage"
cjcx0; "1.55709E-14"; no; "External B-C zero-bias depletion capacitance"
vdcx; "0.733"; no; "External B-C built-in potential"
zcx; "0.34"; no; "External B-C grading coefficient"
vptcx; "100"; no; "External B-C punch-through voltage"
fbc; "0.3487"; no; "Partitioning factor of parasitic B-C capacitance"
cjs0; "17.68E-15"; no; "C-S zero-bias depletion capacitance"
vds; "0.621625"; no; "C-S built-in potential"
zs; "0.122136"; no; "C-S grading coefficient"
vpts; "1000"; no; "C-S punch-through voltage"
t0; "1.28E-12"; no; "Low current forward transit time at VBC=0V"
dt0h; "260E-15"; no; "Time constant for base and B-C space charge layer width modulation"
tbvl; "2.0E-13"; no; "Time constant for modelling carrier jam at low VCE"
tef0; "0.0"; no; "Neutral emitter storage time"
gtfe; "1.0"; no; "Exponent factor for current dependence of neutral emitter storage time"
thcs; "46E-15"; no; "Saturation time constant at high current densities"
alhc; "0.08913"; no; "Smoothing factor for current dependence of base and collector transit time"
fthc; "0.8778"; no; "Partitioning factor for base and collector portion"
rci0; "50.4277"; no; "Internal collector resistance at low electric field"
vlim; "0.9"; no; "Voltage separating ohmic and saturation velocity regime"
vces; "0.01"; no; "Internal C-E saturation voltage"
vpt; "10"; no; "Collector punch-through voltage"
tr; "1.0E-11"; no; "Storage time for inverse operation"
ceox; "1.71992E-15"; no; "Total parasitic B-E capacitance"
ccox; "4.9E-15"; no; "Total parasitic B-C capacitance"
alqf; "0.1288"; no; "Factor for additional delay time of minority charge"
alit; "1.0"; no; "Factor for additional delay time of transfer current"
kf; "2.83667E-9"; no; "Flicker noise coefficient"
af; "2.0"; no; "Flicker noise exponent factor"
krbi; "1.0"; no; "Noise factor for internal base resistance"
latb; "10.479"; no; "Scaling factor for collector minority charge in direction of emitter width"
latl; "0.300012"; no; "Scaling factor for collector minority charge in direction of emitter length"
vgb; "1.112"; no; "Bandgap voltage extrapolated to 0 K"
alt0; "0.0017580"; no; "First order relative TC of parameter T0"
kt0; "4.07E-6"; no; "Second order relative TC of parameter T0"
zetaci; "0.7"; no; "Temperature exponent for RCI0"
zetacx; "1.0"; no; "Temperature exponent of mobility in substrate transistor transit time"
alvs; "0.001"; no; "Relative TC of saturation drift velocity"
alces; "0.000125"; no; "Relative TC of VCES"
zetarbi; "0.0"; no; "Temperature exponent of internal base resistance"
zetarbx; "0.2"; no; "Temperature exponent of external base resistance"
zetarcx; "0.21"; no; "Temperature exponent of external collector resistance"
zetare; "0.7"; no; "Temperature exponent of emitter resistance"
alb; "0.007"; no; "Relative TC of forward current gain for V2.1 model"
rth; "1293.95"; no; "Thermal resistance"
cth; "7.22203E-11"; no; "Thermal capacitance"
tnom; "27.0"; no; "Temperature at which parameters are specified"
dt; "0.0"; no; "Temperature change w.r.t. chip temperature for particular transistor"
Temp; "27"; no; "simulation temperature"
