# Note: auto-generated file (changes will be lost on update)
# Name; Value; Display; Description
LEVEL; "1"; no; "model selector"
Vto; "-1.8"; no; "pinch-off voltage (V)"
Beta; "3e-3"; no; "transconductance parameter (A/(V*V))"
Alpha; "2.25"; no; "saturation voltage parameter (1/V)"
Lambda; "0.05"; no; "channel length modulation parameter (1/V)"
B; "0.3"; no; "doping profile parameter (1/V)"
Qp; "2.1"; no; "power law exponent parameter"
Delta; "0.1"; no; "power feedback parameter (1/W)"
Vmax; "0.5"; no; "maximum junction voltage limit before capacitance limiting (V)"
Vdelta1; "0.3"; no; "capacitance saturation transition voltage (V)"
Vdelta2; "0.2"; no; "capacitance threshold transition voltage (V)"
Gamma; "0.015"; no; "dc drain pull coefficient"
Nsc; "1"; no; "subthreshold conductance parameter"
Is; "1e-14"; no; "diode saturation current (I)"
N; "1"; no; "diode emission coefficient"
Vbi; "1.0"; no; "built-in gate potential (V)"
Bv; "60"; no; "gate-drain junction reverse bias breakdown voltage (V)"
Xti; "3.0"; no; "diode saturation current temperature coefficient"
Fc; "0.5"; no; "forward-bias depletion capacitance coefficient"
Tau; "1e-9"; no; "transit time under gate (s)"
Rin; "1e-3"; no; "channel resistance (Ohm)"
Area; "1"; no; "area factor"
Eg; "1.11"; no; "energy gap (eV)"
M; "0.5"; no; "grading coefficient"
Cgd; "0.2e-12"; no; "zero bias gate-drain junction capacitance (F)"
Cgs; "1e-12"; no; "zero bias gate-source junction capacitance (F)"
Cds; "1e-12"; no; "zero bias drain-source junction capacitance (F)"
Betatc; "0"; no; "Beta temperature coefficient (%/Celsius)"
Alphatc; "0"; no; "Alpha temperature coefficient (%/Celsius)"
Gammatc; "0"; no; "Gamma temperature coefficient (%/Celsius)"
Ng; "2.65"; no; "Subthreshold slope gate parameter"
Nd; "-0.19"; no; "subthreshold drain pull parameter"
ILEVELS; "3"; no; "gate-source current equation selector"
ILEVELD; "3"; no; "gate-drain current equation selector"
QLEVELS; "2"; no; "gate-source charge equation selector"
QLEVELD; "2"; no; "gate-drain charge equation selector"
QLEVELDS; "2"; no; "drain-source charge equation selector"
Vtotc; "0"; no; "Vto temperature coefficient"
Rg; "5.1"; no; "gate resistance (Ohms)"
Rd; "1.3"; no; "drain resistance (Ohms)"
Rs; "1.3"; no; "source resistance (Ohms)"
Rgtc; "0"; no; "gate resistance temperature coefficient (1/Celsius)"
Rdtc; "0"; no; "drain resistance temperature coefficient (1/Celsius)"
Rstc; "0"; no; "source resistance temperature coefficient (1/Celsius)"
Ibv; "1e-3"; no; "gate reverse breakdown currrent (A)"
Rf; "10"; no; "forward bias slope resistance (Ohms)"
R1; "10"; no; "breakdown slope resistance (Ohms)"
Af; "1"; no; "flicker noise exponent"
Kf; "0"; no; "flicker noise coefficient"
Gdsnoi; "1"; no; "shot noise coefficient"
Tnom; "26.85"; no; "parameter measurement temperature (Celsius)"
Temp; "26.85"; no; "simulation temperature"
