# Note: auto-generated file (changes will be lost on update)
# Name; Value; Display; Description
GMIN; "1e-12"; no; "-"
PS; "12e-6"; no; "-"
PD; "12e-6"; no; "-"
AS; "12e-12"; no; "-"
AD; "12e-12"; no; "-"
CGBO; "-99.0"; no; "-"
CGDO; "-99.0"; no; "-"
CGSO; "-99.0"; no; "-"
L; "3e-6"; no; "-"
W; "6e-6"; no; "-"
MOBMOD; "-99.0"; no; "-"
RDSMOD; "-99.0"; no; "-"
IGCMOD; "0"; no; "-"
IGBMOD; "0"; no; "-"
CAPMOD; "2"; no; "-"
RGATEMOD; "2"; no; "-"
RBODYMOD; "0"; no; "-"
DIOMOD; "1"; no; "-"
TEMPMOD; "-99.0"; no; "-"
GEOMOD; "0"; no; "-"
RGEOMOD; "0"; no; "-"
PERMOD; "1"; no; "-"
TNOIMOD; "0"; no; "-"
FNOIMOD; "0"; no; "-"
EPSROX; "3.9"; no; "-"
TOXE; "-99.0"; no; "-"
TOXP; "-99.0"; no; "-"
TOXM; "-99.0"; no; "-"
DTOX; "0.0"; no; "-"
XJ; "1.5e-7"; no; "-"
GAMMA1; "-99.0"; no; "-"
GAMMA2; "-99.0"; no; "-"
NDEP; "-99.0"; no; "-"
NSUB; "6.0e16"; no; "-"
NGATE; "0.0"; no; "-"
NSD; "1.0e20"; no; "-"
VBX; "-99.0"; no; "-"
XT; "1.55e-7"; no; "-"
RSH; "0.0"; no; "-"
RSHG; "0.0"; no; "-"
VTH0; "-0.6"; no; "-"
VFB; "-99.0"; no; "-"
PHIN; "0.0"; no; "-"
K1; "-99.0"; no; "-"
K2; "-99.0"; no; "-"
K3; "80.0"; no; "-"
K3B; "0.0"; no; "-"
W0; "2.5e-6"; no; "-"
LPE0; "1.74e-7"; no; "-"
LPEB; "0.0"; no; "-"
VBM; "-3.0"; no; "-"
DVT0; "2.2"; no; "-"
DVT1; "0.53"; no; "-"
DVT2; "-0.032"; no; "-"
DVTP0; "0.0"; no; "-"
DVTP1; "0.0"; no; "-"
DVT0W; "0.0"; no; "-"
DVT1W; "5.3e6"; no; "-"
DVT2W; "-0.032"; no; "-"
U0; "-99.0"; no; "-"
UA; "-99.0"; no; "-"
UB; "1.0e-19"; no; "-"
UC; "-99.0"; no; "-"
EU; "-99.0"; no; "-"
VSAT; "8.0e4"; no; "-"
A0; "1.0"; no; "-"
AGS; "0.0"; no; "-"
B0; "0.0"; no; "-"
B1; "0.0"; no; "-"
KETA; "-0.047"; no; "-"
A1; "0.0"; no; "-"
A2; "1.0"; no; "-"
WINT; "0.0"; no; "-"
LINT; "0.0"; no; "-"
DWG; "0.0"; no; "-"
DWB; "0.0"; no; "-"
VOFF; "-0.08"; no; "-"
VOFFL; "0.0"; no; "-"
MINV; "0.0"; no; "-"
NFACTOR; "1.0"; no; "-"
ETA0; "0.08"; no; "-"
ETAB; "-0.07"; no; "-"
DROUT; "0.56"; no; "-"
DSUB; "0.56"; no; "-"
CIT; "0.0"; no; "-"
CDSC; "2.4e-4"; no; "-"
CDSCB; "0.0"; no; "-"
CDSCD; "0.0"; no; "-"
PCLM; "1.3"; no; "-"
PDIBL1; "0.39"; no; "-"
PDIBL2; "0.0086"; no; "-"
PDIBLB; "0.0"; no; "-"
PSCBE1; "4.24e8"; no; "-"
PSCBE2; "1.0e-5"; no; "-"
PVAG; "0.0"; no; "-"
DELTA; "0.01"; no; "-"
FPROUT; "0.0"; no; "-"
PDITS; "0.0"; no; "-"
PDITSD; "0.0"; no; "-"
PDITSL; "0.0"; no; "-"
LAMBDA; "-99.0"; no; "-"
VTL; "-99.0"; no; "-"
LC; "5.0e-9"; no; "-"
XN; "3.0"; no; "-"
RDSW; "200.0"; no; "-"
RDSWMIN; "0.0"; no; "-"
RDW; "100.0"; no; "-"
RDWMIN; "0.0"; no; "-"
RSW; "100.0"; no; "-"
RSWMIN; "0.0"; no; "-"
PRWG; "1.0"; no; "-"
PRWB; "0.0"; no; "-"
WR; "1.0"; no; "-"
NRS; "-99.0"; no; "-"
NRD; "-99.0"; no; "-"
ALPHA0; "0.0"; no; "-"
ALPHA1; "0.0"; no; "-"
BETA0; "30.0"; no; "-"
AGIDL; "0.0"; no; "-"
BGIDL; "2.3e9"; no; "-"
CGIDL; "0.5"; no; "-"
EGIDL; "0.8"; no; "-"
AIGBACC; "0.43"; no; "-"
BIGBACC; "0.054"; no; "-"
CIGBACC; "0.075"; no; "-"
NIGBACC; "1.0"; no; "-"
AIGBINV; "0.35"; no; "-"
BIGBINV; "0.03"; no; "-"
CIGBINV; "0.006"; no; "-"
EIGBINV; "1.1"; no; "-"
NIGBINV; "3.0"; no; "-"
AIGC; "-99.0"; no; "-"
BIGC; "-99.0"; no; "-"
CIGC; "-99.0"; no; "-"
AIGSD; "-99.0"; no; "-"
BIGSD; "-99.0"; no; "-"
CIGSD; "-99.0"; no; "-"
DLCIG; "0.0"; no; "-"
NIGC; "1.0"; no; "-"
POXEDGE; "1.0"; no; "-"
PIGCD; "1.0"; no; "-"
NTOX; "1.0"; no; "-"
TOXREF; "3.0e-9"; no; "-"
XPART; "0.4"; no; "-"
CGS0; "0.0"; no; "-"
CGD0; "0.0"; no; "-"
CGB0; "0.0"; no; "-"
CGSL; "0.0"; no; "-"
CGDL; "0.0"; no; "-"
CKAPPAS; "0.6"; no; "-"
CKAPPAD; "0.6"; no; "-"
CF; "-99.0"; no; "-"
CLC; "1.0e-7"; no; "-"
CLE; "0.6"; no; "-"
DLC; "0.0"; no; "-"
DWC; "0.0"; no; "-"
VFBCV; "-1.0"; no; "-"
NOFF; "1.0"; no; "-"
VOFFCV; "0.0"; no; "-"
ACDE; "1.0"; no; "-"
MOIN; "15.0"; no; "-"
XRCRG1; "12.0"; no; "-"
XRCRG2; "1.0"; no; "-"
RBPB; "50.0"; no; "-"
RBPD; "50.0"; no; "-"
RBPS; "50.0"; no; "-"
RBDB; "50.0"; no; "-"
RBSB; "50.0"; no; "-"
GBMIN; "1.0e-12"; no; "-"
DMCG; "0.0"; no; "-"
DMCI; "0.0"; no; "-"
DMDG; "0.0"; no; "-"
DMCGT; "0.0"; no; "-"
NF; "1.0"; no; "-"
DWJ; "0.0"; no; "-"
MIN; "0.0"; no; "-"
XGW; "0.0"; no; "-"
XGL; "0.0"; no; "-"
XL; "0.0"; no; "-"
XW; "0.0"; no; "-"
NGCON; "1.0"; no; "-"
IJTHSREV; "0.1"; no; "-"
IJTHDREV; "0.1"; no; "-"
IJTHSFWD; "0.1"; no; "-"
IJTHDFWD; "0.1"; no; "-"
XJBVS; "1.0"; no; "-"
XJBVD; "1.0"; no; "-"
BVS; "10.0"; no; "-"
BVD; "10.0"; no; "-"
JSS; "1.0e-4"; no; "-"
JSD; "1.0e-4"; no; "-"
JSWS; "0.0"; no; "-"
JSWD; "0.0"; no; "-"
JSWGS; "0.0"; no; "-"
JSWGD; "0.0"; no; "-"
CJS; "5.0e-4"; no; "-"
CJD; "5.0e-4"; no; "-"
MJS; "0.5"; no; "-"
MJD; "0.5"; no; "-"
MJSWS; "0.33"; no; "-"
MJSWD; "0.33"; no; "-"
CJSWS; "5.0e-10"; no; "-"
CJSWD; "5.0e-10"; no; "-"
CJSWGS; "5.0e-10"; no; "-"
CJSWGD; "5.0e-10"; no; "-"
MJSWGS; "0.33"; no; "-"
MJSWGD; "0.33"; no; "-"
PBS; "1.0"; no; "-"
PBD; "1.0"; no; "-"
PBSWS; "1.0"; no; "-"
PBSWD; "1.0"; no; "-"
PBSWGS; "1.0"; no; "-"
PBSWGD; "1.0"; no; "-"
TNOM; "27"; no; "-"
UTE; "-1.5"; no; "-"
KT1; "-0.11"; no; "-"
KT1L; "0.0"; no; "-"
KT2; "0.022"; no; "-"
UA1; "1.0e-9"; no; "-"
UB1; "-1.0e-18"; no; "-"
UC1; "-99.0"; no; "-"
AT; "3.3e4"; no; "-"
PRT; "0.0"; no; "-"
NJS; "1.0"; no; "-"
NJD; "1.0"; no; "-"
XTIS; "3.0"; no; "-"
XTID; "3.0"; no; "-"
TPB; "0.0"; no; "-"
TPBSW; "0.0"; no; "-"
TPBSWG; "0.0"; no; "-"
TCJ; "0.0"; no; "-"
TCJSW; "0.0"; no; "-"
TCJSWG; "0.0"; no; "-"
SA; "0.0"; no; "-"
SB; "0.0"; no; "-"
SD; "0.0"; no; "-"
SAREF; "1e-6"; no; "-"
SBREF; "1e-6"; no; "-"
WLOD; "0.0"; no; "-"
KU0; "0.0"; no; "-"
KVSAT; "0.0"; no; "-"
TKU0; "0.0"; no; "-"
LKU0; "0.0"; no; "-"
WKU0; "0.0"; no; "-"
PKU0; "0.0"; no; "-"
LLODKU0; "0.0"; no; "-"
WLODKU0; "0.0"; no; "-"
KVTH0; "0.0"; no; "-"
LKVTH0; "0.0"; no; "-"
WKVTH0; "0.0"; no; "-"
PKVTH0; "0.0"; no; "-"
LLODVTH; "0.0"; no; "-"
WLODVTH; "0.0"; no; "-"
STK2; "0.0"; no; "-"
LODK2; "1.0"; no; "-"
STETA0; "0.0"; no; "-"
LODETA0; "1.0"; no; "-"
WL; "0.0"; no; "-"
WLN; "1.0"; no; "-"
WW; "0.0"; no; "-"
WWN; "1.0"; no; "-"
WWL; "0.0"; no; "-"
LL; "0.0"; no; "-"
LLN; "1.0"; no; "-"
LW; "0.0"; no; "-"
LWN; "1.0"; no; "-"
LWL; "0.0"; no; "-"
LLC; "0.0"; no; "-"
LWC; "0.0"; no; "-"
LWLC; "0.0"; no; "-"
WLC; "0.0"; no; "-"
WWC; "0.0"; no; "-"
WWLC; "0.0"; no; "-"
NTNOI; "1.0"; no; "-"
KF; "0.0"; no; "-"
AF; "1.0"; no; "-"
EF; "1.0"; no; "-"
TEMP; "27"; no; "-"
