# Note: auto-generated file (changes will be lost on update)
# Name; Value; Display; Description
Type; "nmos"; yes; "polarity [nmos, pmos]"
LEVEL; "1"; no; "long = 1, short = 2"
L; "0.5e-6"; no; "length parameter (m)"
W; "10e-6"; no; "Width parameter (m)"
Np; "1.0"; no; "parallel multiple device number"
Ns; "1.0"; no; "series multiple device number"
Cox; "3.45e-3"; no; "gate oxide capacitance per unit area (F/m**2)"
Xj; "0.15e-6"; no; "metallurgical junction depth (m)"
Dw; "-0.02e-6"; no; "channel width correction (m)"
Dl; "-0.05e-6"; no; "channel length correction (m)"
Vto; "0.6"; no; "long channel threshold voltage (V)"
Gamma; "0.71"; no; "body effect parameter (V**(1/2))"
Phi; "0.97"; no; "bulk Fermi potential (V)"
Kp; "150e-6"; no; "transconductance parameter (A/V**2)"
Theta; "50e-3"; no; "mobility reduction coefficient (1/V)"
EO; "88.0e6"; no; "mobility coefficient (V/m)"
Ucrit; "4.5e6"; no; "longitudinal critical field (V/m)"
Lambda; "0.23"; no; "depletion length coefficient"
Weta; "0.05"; no; "narrow-channel effect coefficient"
Leta; "0.28"; no; "longitudinal critical field"
Q0; "280e-6"; no; "reverse short channel charge density (A*s/m**2)"
Lk; "0.5e-6"; no; "characteristic length (m)"
Tcv; "1.5e-3"; no; "threshold voltage temperature coefficient (V/K)"
Bex; "-1.5"; no; "mobility temperature coefficient"
Ucex; "1.7"; no; "Longitudinal critical field temperature exponent"
Ibbt; "0.0"; no; "Ibb temperature coefficient (1/K)"
Hdif; "0.9e-6"; no; "heavily doped diffusion length (m)"
Rsh; "510.0"; no; "drain/source diffusion sheet resistance (Ohm/square)"
Rsc; "0.0"; no; "source contact resistance (Ohm)"
Rdc; "0.0"; no; "drain contact resistance (Ohm)"
Cgso; "1.5e-10"; no; "gate to source overlap capacitance (F/m)"
Cgdo; "1.5e-10"; no; "gate to drain overlap capacitance (F/m)"
Cgbo; "4.0e-10"; no; "gate to bulk overlap capacitance (F/m)"
Iba; "2e8"; no; "first impact ionization coefficient (1/m)"
Ibb; "3.5e8"; no; "second impact ionization coefficient (V/m)"
Ibn; "1.0"; no; "saturation voltage factor for impact ionization"
Kf; "1.0e-27"; no; "flicker noise coefficient"
Af; "1.0"; no; "flicker noise exponent"
Avto; "0.0"; no; "area related theshold voltage mismatch parameter (V*m)"
Akp; "0.0"; no; "area related gain mismatch parameter (m)"
Agamma; "0.0"; no; "area related body effect mismatch parameter (sqrt(V)*m)"
N; "1.0"; no; "emission coefficient"
Is; "1e-14"; no; "saturation current (A)"
Bv; "100"; no; "reverse breakdown voltage (V)"
Ibv; "1e-3"; no; "current at reverse breakdown voltage (A)"
Vj; "1.0"; no; "junction potential (V)"
Cj0; "300e-15"; no; "zero-bias junction capacitance (F)"
M; "0.5"; no; "grading coefficient"
Area; "1.0"; no; "diode relative area"
Fc; "0.5"; no; "forward-bias depletion capacitance coefficient"
Tt; "0.1e-9"; no; "transit time (s)"
Xti; "3.0"; no; "saturation current temperature exponent"
Xpart; "0.4"; no; "charge partition parameter"
Tnom; "26.85"; no; "parameter measurement temperature (Celsius)"
Temp; "26.85"; no; "simulation temperature"
