# Note: auto-generated file (changes will be lost on update)
# Name; Value; Display; Description
Mode; "1"; no; "Ignored"
Noise; "1"; no; "Ignored"
Debug; "0"; no; "Ignored"
DebugPlus; "0"; no; "Ignored"
Temp; "25.0"; no; "Device operating temperature, Celsius"
Rth; "0.1"; no; "Thermal resistance, K/W"
Cth; "700e-9"; no; "Thermal capacitance"
N; "1"; no; "Scaling factor, number of emitter fingers"
L; "30e-6"; no; "Length of emitter finger, m"
W; "1e-6"; no; "Width of emitter finger, m"
Jsf; "20e-24"; no; "Forward saturation current density, A/um^2"
nf; "1.0"; no; "Forward current emission coefficient"
Vg; "1.3"; no; "Forward thermal activation energy, V, (0 == disables temperature dependence)"
Jse; "0.0"; no; "B-E leakage saturation current density, A/um^2"
ne; "0.0"; no; "B-E leakage emission coefficient"
Rbxx; "1e6"; no; "Limiting resistor of B-E leakage diode, Ohm"
Vgb; "0.0"; no; "B-E leakage thermal activation energy, V, (0 == disables temperature dependence)"
Jsee; "0.0"; no; "2nd B-E leakage saturation current density, A/um^2"
nee; "0.0"; no; "2nd B-E leakage emission coefficient"
Rbbxx; "1e6"; no; "2nd Limiting resistor of B-E leakage diode, Ohm"
Vgbb; "0.0"; no; "2nd B-E leakage thermal activation energy, V, (0 == disables temperature dependence)"
Jsr; "20e-18"; no; "Reverse saturation current density, A/um^2"
nr; "1.0"; no; "Reverse current emission coefficient"
Vgr; "0.0"; no; "Reverse thermal activation energy, V, (0 == disables temperature dependence)"
XCjc; "0.5"; no; "Fraction of Cjc that goes to internal base node"
Jsc; "0.0"; no; "B-C leakage saturation current density, A/um^2 (0. switches off diode)"
nc; "0.0"; no; "B-C leakage emission coefficient (0. switches off diode)"
Rcxx; "1e6"; no; "Limiting resistor of B-C leakage diode, Ohm"
Vgc; "0.0"; no; "B-C leakage thermal activation energy, V, (0 == disables temperature dependence)"
Bf; "100.0"; no; "Ideal forward beta"
kBeta; "0.0"; no; "Temperature coefficient of forward current gain, -1/K,  (0 == disables temperature dependence)"
Br; "1.0"; no; "Ideal reverse beta"
VAF; "0.0"; no; "Forward Early voltage, V,  (0 == disables Early Effect)"
VAR; "0.0"; no; "Reverse Early voltage, V, (0 == disables Early Effect)"
IKF; "0.0"; no; "Forward high-injection knee current, A, (0 == disables Webster Effect)"
IKR; "0.0"; no; "Reverse high-injection knee current, A, (0 == disables Webster Effect)"
Mc; "0.0"; no; "C-E breakdown exponent, (0 == disables collector break-down)"
BVceo; "0.0"; no; "C-E breakdown voltage, V, (0 == disables collector break-down)"
kc; "0.0"; no; "C-E breakdown factor, (0 == disables collector break-down)"
BVebo; "0.0"; no; "B-E breakdown voltage, V, (0 == disables emitter break-down)"
Tr; "1.0e-15"; no; "Ideal reverse transit time, s"
Trx; "1.0e-15"; no; "Extrinsic BC diffusion capacitance, F"
Tf; "1.0e-12"; no; "Ideal forward transit time, s"
Tft; "0.0"; no; "Temperature coefficient of forward transit time"
Thcs; "0.0"; no; "Excess transit time coefficient at base push-out"
Ahc; "0.0"; no; "Smoothing parameter for Thcs"
Cje; "1.0e-15"; no; "B-E zero-bias depletion capacitance, F/um^2"
mje; "0.5"; no; "B-E junction exponential factor"
Vje; "1.3"; no; "B-E junction built-in potential, V"
Cjc; "1.0e-15"; no; "B-C zero-bias depletion capacitance, F/um^2"
mjc; "0.5"; no; "B-C junction exponential factor"
Vjc; "1.3"; no; "B-C junction built-in potential, V"
kjc; "1.0"; no; "not used"
Cmin; "0.1e-15"; no; "Minimum B-C depletion capacitance (Vbc dependence), F/um^2"
J0; "1e-3"; no; "Collector current where Cbc reaches Cmin, A/um^2 (0 == disables Cbc reduction)"
XJ0; "1.0"; no; "Fraction of Cmin, lower limit of BC capacitance (Ic dependence)"
Rci0; "1e-3"; no; "Onset of base push-out at low voltages, Ohm*um^2 (0 == disables base push-out)"
Jk; "4e-4"; no; "Onset of base push-out at high voltages, A/um^2, (0 == disables base push-out)"
RJk; "1e-3"; no; "Slope of Jk at high currents , Ohm*um^2"
Vces; "1e-3"; no; "Voltage shift of base push-out onset, V"
Rc; "1.0"; no; "Collector resistance, Ohm/finger"
Re; "1.0"; no; "Emitter resistance, Ohm/finger"
Rb; "1.0"; no; "Extrinsic base resistance, Ohm/finger"
Rb2; "1.0"; no; "Inner Base ohmic resistance, Ohm/finger"
Lc; "0.0"; no; "Collector inductance, H"
Le; "0.0"; no; "Emitter inductance, H"
Lb; "0.0"; no; "Base inductance, H"
Cq; "0.0"; no; "Extrinsic B-C capacitance, F"
Cpb; "0.0"; no; "Extrinsic base capacitance, F"
Cpc; "0.0"; no; "Extrinsic collector capacitance, F"
Kfb; "0.0"; no; "Flicker-noise coefficient"
Afb; "0.0"; no; "Flicker-noise exponent"
Ffeb; "0.0"; no; "Flicker-noise frequency exponent"
Kb; "0.0"; no; "Burst noise coefficient"
Ab; "0.0"; no; "Burst noise exponent"
Fb; "0.0"; no; "Burst noise corner frequency, Hz"
Kfe; "0.0"; no; "Flicker-noise coefficient"
Afe; "0.0"; no; "Flicker-noise exponent"
Ffee; "0.0"; no; "Flicker-noise frequency exponent"
Tnom; "20.0"; no; "Ambient temperature at which the parameters were determined"
