# Note: auto-generated file (changes will be lost on update)
# Name; Value; Display; Description
L; "0.35e-6"; no; "-"
W; "5.0e-6"; no; "-"
PS; "8.0e-6"; no; "-"
PD; "8.0e-6"; no; "-"
AS; "12.0e-12"; no; "-"
AD; "12.0e-12"; no; "-"
NRS; "10.0"; no; "-"
NRD; "10.0"; no; "-"
NQSMOD; "0"; no; "-"
GMIN; "1e-12"; no; "-"
VERSION; "3.24"; no; "-"
PARAMCHK; "0"; no; "-"
MOBMOD; "1"; no; "-"
CAPMOD; "3"; no; "-"
NOIMOD; "4"; no; "-"
BINUNIT; "1"; no; "-"
TOX; "150.0e-10"; no; "-"
TOXM; "150.0e-10"; no; "-"
CDSC; "2.4e-4"; no; "-"
CDSCB; "0.0"; no; "-"
CDSCD; "0.0"; no; "-"
CIT; "0.0"; no; "-"
NFACTOR; "1"; no; "-"
XJ; "0.15e-6"; no; "-"
VSAT; "8.0e4"; no; "-"
AT; "3.3e4"; no; "-"
A0; "1.0"; no; "-"
AGS; "0.0"; no; "-"
A1; "0.0"; no; "-"
A2; "1.0"; no; "-"
KETA; "-0.047"; no; "-"
NSUB; "-99.0"; no; "-"
NCH; "-99.0"; no; "-"
NGATE; "0"; no; "-"
GAMMA1; "-99.0"; no; "-"
GAMMA2; "-99.0"; no; "-"
VBX; "-99.0"; no; "-"
VBM; "-3.0"; no; "-"
XT; "-99.0"; no; "-"
K1; "-99.0"; no; "-"
KT1; "-0.11"; no; "-"
KT1L; "0.0"; no; "-"
KT2; "0.022"; no; "-"
K2; "-99.0"; no; "-"
K3; "80.0"; no; "-"
K3B; "0.0"; no; "-"
W0; "2.5e-6"; no; "-"
NLX; "1.74e-7"; no; "-"
DVT0; "2.2"; no; "-"
DVT1; "0.53"; no; "-"
DVT2; "-0.032"; no; "-"
DVT0W; "0.0"; no; "-"
DVT1W; "5.3e6"; no; "-"
DVT2W; "-0.032"; no; "-"
DROUT; "0.56"; no; "-"
DSUB; "0.56"; no; "-"
VTHO; "0.7"; no; "-"
VTH0; "0.7"; no; "-"
UA; "2.25e-9"; no; "-"
UA1; "4.31e-9"; no; "-"
UB; "5.87e-19"; no; "-"
UB1; "-7.61e-18"; no; "-"
UC; "-99.0"; no; "-"
UC1; "-99.0"; no; "-"
U0; "-99.0"; no; "-"
UTE; "-1.5"; no; "-"
VOFF; "-0.08"; no; "-"
TNOM; "26.85"; no; "-"
CGSO; "-99.0"; no; "-"
CGDO; "-99.0"; no; "-"
CGBO; "-99.0"; no; "-"
XPART; "0.4"; no; "-"
ELM; "5.0"; no; "-"
DELTA; "0.01"; no; "-"
RSH; "0.0"; no; "-"
RDSW; "0"; no; "-"
PRWG; "0.0"; no; "-"
PRWB; "0.0"; no; "-"
PRT; "0.0"; no; "-"
ETA0; "0.08"; no; "-"
ETAB; "-0.07"; no; "-"
PCLM; "1.3"; no; "-"
PDIBLC1; "0.39"; no; "-"
PDIBLC2; "0.0086"; no; "-"
PDIBLCB; "0.0"; no; "-"
PSCBE1; "4.24e8"; no; "-"
PSCBE2; "1.0e-5"; no; "-"
PVAG; "0.0"; no; "-"
JS; "1.0E-4"; no; "-"
JSW; "0.0"; no; "-"
PB; "1.0"; no; "-"
NJ; "1.0"; no; "-"
XTI; "3.0"; no; "-"
MJ; "0.5"; no; "-"
PBSW; "1.0"; no; "-"
MJSW; "0.33"; no; "-"
PBSWG; "1.0"; no; "-"
