# Note: auto-generated file (changes will be lost on update)
# Name; Value; Display; Description
GBP; "1e6"; no; "Gain bandwidth product (Hz)"
AOLDC; "106.0"; no; "Open-loop differential gain at DC (dB)"
FP2; "3e6"; no; "Second pole frequency (Hz)"
RO; "75"; no; "Output resistance (Ohm)"
CD; "1e-12"; no; "Differential input capacitance (F)"
RD; "2e6"; no; "Differential input resistance (Ohm)"
IOFF; "20e-9"; no; "Input offset current (A)"
IB; "80e-9"; no; "Input bias current (A)"
VOFF; "7e-4"; no; "Input offset voltage (V)"
CMRRDC; "90.0"; no; "Common-mode rejection ratio at DC (dB)"
FCM; "200.0"; no; "Common-mode zero corner frequency (Hz)"
PSRT; "5e5"; no; "Positive slew rate (V/s)"
NSRT; "5e5"; no; "Negative slew rate (V/s)"
VLIMP; "14"; no; "Positive output voltage limit (V)"
VLIMN; "-14"; no; "Negative output voltage limit (V)"
ILMAX; "35e-3"; no; "Maximum DC output current (A)"
CSCALE; "50"; no; "Current limit scale factor"
