# Note: auto-generated file (changes will be lost on update)
# Name; Value; Display; Description
Is; "1e-15 A"; yes; "saturation current"
N; "1"; yes; "emission coefficient"
Cj0; "10 fF"; yes; "zero-bias junction capacitance"
M; "0.5"; no; "grading coefficient"
Vj; "0.7 V"; no; "junction potential"
Fc; "0.5"; no; "forward-bias depletion capacitance coefficient"
Cp; "0.0 fF"; no; "linear capacitance"
Isr; "0.0"; no; "recombination current parameter"
Nr; "2.0"; no; "emission coefficient for Isr"
Rs; "0.0 Ohm"; no; "ohmic series resistance"
Tt; "0.0 ps"; no; "transit time"
Ikf; "0"; no; "high-injection knee current (0=infinity)"
Kf; "0.0"; no; "flicker noise coefficient"
Af; "1.0"; no; "flicker noise exponent"
Ffe; "1.0"; no; "flicker noise frequency exponent"
Bv; "0"; no; "reverse breakdown voltage"
Ibv; "1 mA"; no; "current at reverse breakdown voltage"
Temp; "26.85"; no; "simulation temperature in degree Celsius"
Xti; "3.0"; no; "saturation current temperature exponent"
Eg; "1.11"; no; "energy bandgap in eV"
Tbv; "0.0"; no; "Bv linear temperature coefficient"
Trs; "0.0"; no; "Rs linear temperature coefficient"
Ttt1; "0.0"; no; "Tt linear temperature coefficient"
Ttt2; "0.0"; no; "Tt quadratic temperature coefficient"
Tm1; "0.0"; no; "M linear temperature coefficient"
Tm2; "0.0"; no; "M quadratic temperature coefficient"
Tnom; "26.85"; no; "temperature at which parameters were extracted"
Area; "1.0"; no; "default area for diode"
Symbol; "normal"; no; "schematic symbol [normal, US, Schottky, Zener, Varactor]"
